raw,basic,reedsolo,5005,203,5005
py,robust,naive,7502,203,10
raw,robust,randbin,7502,300,7502
py,basic,randbin,10,300,1
raw,robust,reedsolo,5005,107,5005
raw,robust,randbin,10,107,1
raw,basic,reedsolo,5005,107,5005
raw,basic,reedsolo,10000,10,10000
raw,robust,naive,10000,300,1
py,robust,naive,10000,203,2
py,basic,naive,10000,300,5
raw,robust,naive,10,107,1
raw,basic,reedsolo,2508,203,2508
py,robust,reedsolo,7502,300,7502
raw,basic,naive,10000,300,2
py,robust,naive,5005,300,5
raw,robust,naive,10000,107,2
py,basic,naive,10000,203,10000
py,robust,naive,10000,300,1
py,basic,naive,7502,300,7502
py,basic,reedsolo,5005,107,5005
raw,robust,randbin,10000,107,10000
py,robust,reedsolo,10000,107,10000
raw,robust,reedsolo,10000,203,10000
py,robust,naive,10000,107,1
py,robust,naive,7502,203,2
raw,robust,reedsolo,10,107,2
raw,basic,naive,10000,203,10000
py,basic,randbin,10000,203,10000
raw,robust,naive,10000,107,1
py,robust,randbin,7502,203,7502
py,robust,naive,5005,203,2
raw,robust,reedsolo,2508,300,2508
raw,basic,naive,10000,300,10000
py,robust,randbin,10000,203,10000
py,robust,reedsolo,5005,203,5005
raw,robust,reedsolo,5005,300,5005
py,robust,naive,10,107,2
raw,robust,reedsolo,7502,203,7502
raw,robust,naive,10000,203,10
raw,basic,randbin,10000,203,10000
py,basic,naive,10,300,1
py,basic,reedsolo,10000,10,10000
raw,basic,reedsolo,7502,10,7502
py,robust,naive,7502,203,5
py,robust,naive,7502,203,1
raw,basic,naive,10000,203,2
raw,basic,reedsolo,10000,300,10000
raw,robust,naive,5005,300,2
py,basic,randbin,10,107,2
py,robust,randbin,10,300,2
raw,basic,naive,7502,300,5
raw,basic,randbin,10,203,2
raw,basic,reedsolo,10,300,2
py,robust,naive,10000,107,5
raw,robust,reedsolo,10000,107,10000
raw,robust,randbin,10000,203,10000
py,basic,naive,10000,300,10000
py,basic,reedsolo,10000,300,10000
raw,robust,naive,7502,300,1
py,basic,reedsolo,7502,107,7502
py,robust,reedsolo,5005,300,5005
raw,robust,naive,5005,203,5005
raw,basic,randbin,10,107,1
raw,robust,naive,10000,300,2
raw,robust,naive,5005,203,5
py,basic,naive,10000,203,1
raw,robust,naive,5005,300,5005
py,robust,randbin,10,107,1
py,robust,reedsolo,10,300,2
py,robust,naive,5005,300,2
py,robust,reedsolo,10000,300,10000
py,robust,naive,10000,300,2
py,basic,randbin,10,203,1
raw,robust,reedsolo,7502,300,7502
raw,robust,reedsolo,10000,10,10000
py,basic,reedsolo,5005,203,5005
py,robust,reedsolo,10,107,1
py,basic,naive,10,107,1
raw,robust,naive,7502,203,2
raw,basic,naive,7502,300,2
py,robust,reedsolo,7502,203,7502
py,robust,naive,10000,107,10000
py,basic,reedsolo,10,107,1
py,basic,naive,10,300,2
py,robust,naive,10,203,2
raw,robust,naive,5005,300,1
py,robust,reedsolo,10000,203,10000
raw,robust,naive,10000,107,10000
raw,basic,naive,10,107,1
py,robust,naive,10000,300,5
py,basic,randbin,7502,300,7502
py,basic,reedsolo,10,300,1
py,basic,reedsolo,2508,300,2508
raw,basic,reedsolo,10000,107,10000
raw,basic,reedsolo,7502,300,7502
py,basic,naive,10,107,2
