,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
66,6,8853360,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
67,6,12548728,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
68,6,7816492,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
69,6,116834080,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
70,7,1536376,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
71,7,76740142,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
72,7,113359270842,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
73,7,776128806,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
74,7,234769418444,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
75,7,728098930096,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
76,7,9011828,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
77,7,14043550,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
78,7,7817190,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
79,7,114321546,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
80,8,1350890,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
81,8,73169382,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
82,8,118715530086,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
83,8,795247132,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
84,8,234596512252,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
85,8,727195220760,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
86,8,9260390,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
87,8,16692638,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
